	IW_HADI	IW_HNFW	JE_EMPL	JE_LTUR	JE_AWHW	HO_BASE	HO_SATH	WL_EWLH	WL_EWCS	WL_TNOW	HS_LEB	HS_SFRH	ES_EDUA	ES_STCS	SC_CONTA	SC_SNTWS	CG_TRASG	CG_VOTO	EQ_AIRP	EQ_SATE	PS_REPH	PS_FEIN	SW_LIFS	SW_PNEB
NLD	0.595917242	0.560040568	0.793215381	0.843506565	0.3626919821268	0.722222222	0.867857143	0.988608773	0.843768247	0.825154572	0.736263736	0.784210526	0.62777303	0.729270299	0.565543071	0.85106383	0.288461538	0.815624324	0.389421053	0.903903904	0.913793103	0.713498623	0.911788107	0.844036431
NZL	0.355099245	0.69717701830236	0.756750083	0.979711369	0.7007565876088	0.888888889	0.842857143	0.69973443	0.680744201	0.543283026	0.747252747	1	0.610522646	0.838709303	0.58519878513218	0.973404255	0.807692308	0.823414845	0.924304479	0.747747748	0.887931034	0.435261708	0.820462976	0.655857321
NOR	0.8014936801122	0.031615143	0.843451858	0.984438236	0.42249203859569	0.666666667	0.603571429	0.932574718	0.83231309362274	0.834086347	0.769230769	0.770175439	0.731007162	0.683887968	0.794007491	0.760638298	0.634615385	0.795282406	0.912051745	0.936936937	0.948275862	0.966942149	0.954610964	0.830192515
POL	0.178914724	0.049172877	0.364371847	0.679129413	0.97448237975986	0.166666667	0.892857143	0.815744781	0.553764749	0.625201602	0.21978022	0.438596491	0.820896538	0.659751937	0	0.712765957	0.615384615	0.25254274	0.288409199	0.465465465	0.896551724	0.426997245	0.346491065	0.723418337
PRT	0.34875242	0.300174908	0.592204884	0.43365421	0.3647231319785	0.444444444	0.682142857	0.880826857	0.737786504	0.451394893	0.626373626	0.278947368	0	0.562003236	0.816479401	0.239361702	0.192307692	0.637091539	0.676217693	0.777777778	0.896551724	0.468319559	0.048463198	0
SVK	0.234029381	0	0.441655953	0	0.35477910492479	0.222222222	0.907142857	0.844813599	0.473074341	0.26133941499012	0.131868132	0.475438596	0.859710256	0.457693267	0.43071161	0.574468085	0.25	0.359446007	0.894377823	0.657657658	0.853448276	0.079889807	0.435771461	0.358347653
SVN	0.390480262	0.195089598	0.602042839	0.714446984	0.74539961515149	0.222222222	0.207142857	0.824039923	0.846117996	0.582239239	0.571428571	0.457894737	0.74973838	0.507154179	0.501872659	0.632978723	0.46288072257298	0.546418524	0.490451435	0.777777778	0.956896552	1	0.445731456	0.238986132
ESP	0.491779074	0.21935015	0.518261859	0.578698111	0.55125047504248	0.666666667	0.967857143	0.839286935	0.554300472	0.709011205	0.835164835	0.705263158	0.320259918	0.48926284	0.535580524	0.813829787	0.423076923	0.809565029	0.44758354	0.585585586	0.922413793	0.730027548	0.480442033	0.236414573
SWE	0.601595069	0.323086006	0.783316923	0.888878784	0.78751114309805	0.611111111	0.882142857	0.977899991	0.963649092	0.57434619	0.857142857	0.803508772	0.791506726	0.633182047	0.625468165	0.925531915	0.942307692	0.883142177	1	0.978978979	0.922413793	0.898071625	0.909864868	0.761048364
CHE	0.632847167	1	0.87980946	0.82567532	0.92636048439486	0.611111111	0.914285714	0.66795632772921	0.761348388	0.43662002890869	0.945054945	0.947368421	0.816143804	0.659942876	0.3972261818575	0.765957447	0.557692308	0	0.616133967	0.960960961	0.939655172	0.831955923	0.919223953	0.649608954
TUR	0.62761558359049	0.67077562541945	0	0.537905555	0.56862583950986	0	0	0	0	0.545585064	0	0.598245614	0.028699746	0.34	0.31891112024428	0	0	0.740099546	0.223419401	0	0.75	0.32231405	0.25127053	0.051450486
GBR	0.638902817	0.574072676	0.706139128	0.805963121	0.87016613673345	0.611111111	0.764285714	0.730803417	0.630586745	0.679676014	0.67032967	0.829824561	0.576706284	0.604521065	0.692883895	0.856382979	1	0.400995456	0.892885802	0.921921922	0.775862069	0.685950413	0.756631268	0.811160407
USA	1	0.96332285	0.66075718	0.910891031	0.26371137208735	0.000946873670695	0.667857143	0.758315745	0.71393416	0.495384956	0.472527473	0.971929825	0.842452655	0.654035774	0.13330979160649	0.718085106	0.653846154	0.399047825	0.731226702	0.762762763	0.551724138	0.837465565	0.80071505	0.675856236
BRA	0.94219793849241	0.17483978242928	0.74757242123923	0.2555569370236	0.56297726073904	0.78763032359555	0.19350345632549	0.39197286177337	0.67809121378499	0.39451471132323	0.29373559847768	0.76689762954893	0.4101116148182	0.65318903189411	0.055793128346278	0.013516259616998	0.54520547463547	0.34126035402936	0.11065436495177	0.62750911568089	0.94891141860598	0.33785753331212	0.14272878239162	0.79349451473525
RUS	0.47324623690107	0.000082987799715	0.57161654597569	0.21161348006709	0.24250118993438	0.74769083856949	0.15670141314564	0.27523921674772	0.68653303692399	0.7211339529999	0.13019844133382	0.58067686671549	0.32804997871229	0.83613081363343	0.055098226116158	0.28585167371414	0.1243380935819	0.42216034751249	0.85151941390746	0.27736706291915	0.11406920307138	0.90280113999815	0.33830188810694	0.45394596167188
IND	0.22627616550296	0.65258915434502	0.19624331764808	0.68915250282454	0.37127738626528	0.24807577975983	0.47520178664872	0.1974237676218	0.35227700810323	0.82002578102028	0.63935772345113	0.094823275271674	0.7115631114352	0.10920296900839	0.67324891445693	0.91956228300585	0.35667151100386	0.1299485145925	0.9557620691228	0.7572160504631	0.69957730646455	0.053765455480885	0.45008535795961	0.40169630413645
IDN	0.085923002442369	0.03937996772452	0.25469634019457	0.67542363674957	0.49148607917844	0.25625840050102	0.71377984950107	0.63077566996103	0.81953464477317	0.27531674399836	0.095041251315454	0.85977088092378	0.64541568449722	0.33356632425118	0.30870031011079	0.55007966300861	0.92366445982559	0.71869889708299	0.26352122950308	0.24283770526666	0.99812043401774	0.66512010461968	0.23405516281814	0.4713692878348
CHN	0.23697907957807	0.70469995744623	0.047841459556279	0.589810927682	0.75240506257645	0.37351544592244	0.99213408263202	0.13675879204175	0.95827752994876	0.54011904908079	0.086790464273485	0.021445814626298	0.16983280185231	0.39137410341326	0.77327983650621	0.66858766456448	0.055416389030267	0.2886564436258	0.12933887628269	0.012918886509856	0.51325017637465	0.29022889990237	0.43462224448782	0.89557437944257
ZAF	0.46506715818224	0.12485351556043	0.28476652232776	0.98185293272628	0.133660196677	0.79721397685955	0.47960580361108	0.79353326132963	0.60283783551012	0.80747854270851	0.59584815644188	0.82879574853602	0.84597465948833	0.17534151748719	0.49534165555657	0.028935241770597	0.95328912036173	0.073139576501038	0.017129806390762	0.04343376702806	0.98817740106608	0.89314607866583	0.75481590902461	0.84359456050221
