"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"François Hollande","France 2","Sud Ouest","20 000 à 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"François Hollande","Aucune","Nord","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Autre religion","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Ouest","2 000 à 20 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 3","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","BAC+2 / niveau BAC+2","Musulmane","De temps en temps, aux grandes fêtes"
"François Hollande","TF1","Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","De temps en temps, aux grandes fêtes"
"Eva Joly","France 2","Centre","Moins de 2000 habitants","Femme","35 à 49 ans","employés et personnels de services","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC technique","Sans religion","NA"
"François Hollande","Aucune","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC technique","Catholique","Au moins une fois par semaine"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","BFM TV","Centre","2 000 à 20 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud  Est","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","Canal +","Sud  Est","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Abstention","Aucune","Centre","Plus de 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Certificat d'études primaires","Catholique","Au moins une fois par semaine"
"Nicolas Sarkozy","TF1","Sud Ouest","2 000 à 20 000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Ouest","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","Autre","Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC technique","Sans religion","NA"
"François Hollande","M6","Sud  Est","2 000 à 20 000 habitants","Femme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC général","Musulmane","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","France 2","Nord","Plus de 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BEPC","Sans religion","NA"
"François Hollande","TF1","Centre","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BAC technique","Musulmane","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Autre","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","M6","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","Aucune","Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Dupont-Aignan","TF1","Nord","Moins de 2000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Homme","25 à 34 ans","ouvriers","retraités / autres inactifs","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","BFM TV","Centre","Moins de 2000 habitants","Femme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Paris","Agglomération parisienne","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Musulmane","Uniquement pour les cérémonies, mariages"
"Abstention","France 3","Est","Plus de 100 000 habitants","Homme","25 à 34 ans","retraités / autres inactifs","retraités / autres inactifs","Pas de réponse","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","TF1","Centre","20 000 à 100 000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Sans diplôme","Catholique","Jamais"
"Abstention","TF1","Sud  Est","2 000 à 20 000 habitants","Femme","25 à 34 ans","agriculteurs exploitants","employés et personnels de services","BEPC","Sans religion","NA"
"François Bayrou","Aucune","Nord","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Nord","20 000 à 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Philippe Poutou","Aucune","Sud Ouest","2 000 à 20 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Sans religion","NA"
"Jean-Luc Mélenchon","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Abstention","Aucune","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Homme","50 à 64 ans","ouvriers","ouvriers","BAC général","Catholique","Une ou deux fois par mois"
"François Hollande","Aucune","Paris","Agglomération parisienne","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"Abstention","Aucune","Centre","20 000 à 100 000 habitants","Femme","50 à 64 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","BFM TV","Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Abstention","TF1","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","TF1","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","agriculteurs exploitants","agriculteurs exploitants","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","I-télé","Sud Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Eva Joly","Aucune","Nord","Plus de 100 000 habitants","Homme","18 à 24 ans","retraités / autres inactifs","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","France 2","Nord","20 000 à 100 000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Sans religion","NA"
"François Hollande","France 2","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","BFM TV","Sud  Est","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","M6","Sud  Est","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","CAP/BEP","Sans religion","NA"
"François Hollande","I-télé","Centre","2 000 à 20 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC technique","Musulmane","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","France 2","Ouest","20 000 à 100 000 habitants","Femme","35 à 49 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"NA","France 3","Est","20 000 à 100 000 habitants","Homme","25 à 34 ans","ouvriers","ouvriers","BAC+2 / niveau BAC+2","Autre religion","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","BFM TV","Centre","Moins de 2000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","professions libérales et cadres","BAC général","Sans religion","NA"
"François Hollande","Canal +","Paris","Agglomération parisienne","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Bayrou","TF1","Est","2 000 à 20 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","agriculteurs exploitants","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Ouest","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","France 2","Paris","Agglomération parisienne","Homme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","M6","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Marine Le Pen","TF1","Sud Ouest","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","BFM TV","Sud  Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Sans opinion","NA"
"François Hollande","Aucune","Ouest","20 000 à 100 000 habitants","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","TF1","Nord","Plus de 100 000 habitants","Femme","18 à 24 ans","ouvriers","ouvriers","BAC technique","Musulmane","Au moins une fois par semaine"
"Marine Le Pen","France 3","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","retraités / autres inactifs","retraités / autres inactifs","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Ouest","Moins de 2000 habitants","Homme","25 à 34 ans","agriculteurs exploitants","agriculteurs exploitants","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","Aucune","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","20 000 à 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"François Bayrou","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"François Hollande","Aucune","Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","TF1","Est","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","Sans diplôme","Sans religion","NA"
"Nicolas Sarkozy","France 2","Centre","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Autre religion","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","I-télé","Nord","Moins de 2000 habitants","Femme","25 à 34 ans","ouvriers","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","France 2","Ouest","2 000 à 20 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","TF1","Centre","20 000 à 100 000 habitants","Homme","18 à 24 ans","ouvriers","ouvriers","BAC général","Sans religion","NA"
"Abstention","M6","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","artisans, commercants et chef d entreprises","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Ouest","2 000 à 20 000 habitants","Femme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","BFM TV","Centre","Plus de 100 000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Sans religion","NA"
"Nicolas Sarkozy","Aucune","Nord","Plus de 100 000 habitants","Femme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"NA","France 2","Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Centre","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Certificat d'études primaires","Catholique","Sans opinion"
"François Hollande","BFM TV","Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","artisans, commercants et chef d entreprises","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","France 2","Sud Ouest","Moins de 2000 habitants","Femme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","TF1","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","artisans, commercants et chef d entreprises","CAP/BEP","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","M6","Nord","20 000 à 100 000 habitants","Homme","50 à 64 ans","ouvriers","ouvriers","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","BFM TV","Centre","2 000 à 20 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Nord","Plus de 100 000 habitants","Femme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Ouest","Moins de 2000 habitants","Femme","18 à 24 ans","retraités / autres inactifs","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","France 2","Nord","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","employés et personnels de services","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","France 3","Est","Moins de 2000 habitants","Homme","18 à 24 ans","agriculteurs exploitants","retraités / autres inactifs","BAC technique","Sans religion","NA"
"François Hollande","France 2","Sud  Est","Plus de 100 000 habitants","Homme","18 à 24 ans","artisans, commercants et chef d entreprises","retraités / autres inactifs","BAC général","Sans religion","NA"
"François Hollande","BFM TV","Paris","Agglomération parisienne","Homme","25 à 34 ans","employés et personnels de services","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Musulmane","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Marine Le Pen","TF1","Est","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","Sans diplôme","Catholique","Uniquement pour les cérémonies, mariages"
"Marine Le Pen","BFM TV","Sud  Est","Moins de 2000 habitants","Homme","18 à 24 ans","ouvriers","ouvriers","CAP/BEP","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Est","20 000 à 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","Sans diplôme","Catholique","Jamais"
"Nicolas Sarkozy","France 2","Centre","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","TF1","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"NA","Aucune","Paris","20 000 à 100 000 habitants","Femme","25 à 34 ans","ouvriers","ouvriers","BAC technique","Sans religion","NA"
"Abstention","Autre","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 2","Sud Ouest","Plus de 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Jean-Luc Mélenchon","Canal +","Sud  Est","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","TF1","Paris","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Sans religion","NA"
"Nathalie Arthaud","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"Jean-Luc Mélenchon","TF1","Sud Ouest","2 000 à 20 000 habitants","Homme","18 à 24 ans","ouvriers","retraités / autres inactifs","BAC général","Sans religion","NA"
"Abstention","Aucune","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"François Hollande","France 2","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Nord","20 000 à 100 000 habitants","Femme","35 à 49 ans","ouvriers","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Jamais"
"Abstention","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
