geonameid,name,asciiname,alternatenames,latitude,longitude
1139715,Jal?l?b?d,Jalalabad,"Djelalabad,Dschalalabad,Dzalalabad,Dzhalalabad,Dzhelalabad,D?alalabad,Jalakot,Jalal-Kut,Jalalabad,Jalalkoat,Jalalkot,Jal?lkot,Jal?l?b?d,Jelalabad,Tarun City,jalalabada,jlal abad,??????????,???? ????,?????????,?????????",34.42647,70.45153
1140026,Her?t,Herat,"Gerat,Herat,Her?t,Hérat,Kherat,Shahr-e Herat,Shahr-e Her?t,he la te,herato,hrat,?????,?????,????,????,???",34.34817,62.19967
1141269,Ghazni,Ghazni,"GZI,Gazni,Ghazni,Ghazn?,Shahr-e Ghazni,Shahr-e Ghazn?,gazni,gazuni,ghznt,ghznyn,?????,????,????,?????,????",33.55356,68.42689
1141857,Gard?z,Gardez,"Gardeyz,Gardez,Gardiz,Gardêz,Gard?z,Gard?z,Ga???z,grdyz,??????,?????,?????",33.59744,69.22592
1147290,Balkh,Balkh,"Bactra,Bactresh,Bakhtar,Balch,Balh,Balhika,Balkh,Bamik,Bazirabad,Bkahdi,B?khtar,Vazirabad,ba er he,blkh,????,?????????,???,???",36.75635,66.8972
1147540,Baghl?n,Baghlan,"Baghlan,Baghlan - bghlan,Baghlan - ?????,Baghlan-e Jadid,Baghlin,Baghl?n,Baghl?n-e Jad?d,Baglan,Bagolaggo,Sana `Ati,Sana`ati,bghlan,bghlan jdyd,?an? ‘Ati,?an?‘at?,??????,?????,????? ????,??????",36.13068,68.70829
783263,Elbasan,Elbasan,"Ehl'basan,Elbasan,Elbasani,Elbassan,????????",41.1125,20.08222
3183875,Tirana,Tirana,"TIA,Tiran,Tirana,Tirane,Tirano,Tiranë,Tir?na,Tyrana,Tyranna,Tírana,de la na,tilana,tirana,tyrana,tyrnh,??????,??????,??????,?????,??????,??????,????,???,???",41.3275,19.81889
3185728,Durrës,Durres,"Drac,Drach,Dra?,Duraso,Durazzo,Durehs,Dures,Duresi,Durres,Durresa,Durresi,Durrsi,Durrës,Durrësi,Durts,Durus,Durz,Durësi,Dyrrachio,Dyrrachium,Dyrrakhion,Dyrrhachium,Epidamnos,dou la si,do~urasu,dwrs,????????,????,??????,?????,?????,????,????,???",41.32306,19.44139
616052,Yerevan,Yerevan,"Ayrivan,EREVAN,EVN,Ereban,Erehvan,Ereun,Erevan,Erevano,Ereván,Erewan,Erivan,Eriwan,Erywan,Erywa?,Ierevan - Erevan,Iereván - ??????,Iravan,Jerevan,Jerevanas,Jereván,Revan,Yerevan,Yervandavan,Yiriwan,Yèrèvan,ayrwan,ereban,erevani,iyerebhana,shhr ayrwan,ye li wen,yeleban,yerevana,yryfan,Êrîvan,?r?van,??????,??????,???????,??????,??????,??????,??????,?????,??????,??????,??? ??????,??????,???????,?????????,???????,????,????,???,???",40.18111,44.51361
616530,Vanadzor,Vanadzor,"Gharak'ilisa,Gharak’ilisa,KIROVAKAN,Karakhs,Karakilis,Karaklis,Kirovakan,Kirowakan,Korovakan,Mets Karakilisa,Vanadzor,Vanajor,Wanadsor,Wanadzor,wanadzwr,????????,?????????,???????,????????",40.80456,44.4939
616635,Gyumri,Gyumri,"Alek'pol,Alek'sandrapol,Alek'sandrobol,Aleksandropol',Aleksandropol’,Alek’pol,Alek’sandrapol,Alek’sandrobol,Alexandropol',Alexandropol’,GJUMRI,Gimri,Giumri,Gjumri,Guemrue,Gumri,Gumru,Gumry,Gyumri,Gümrü,Kumayri,Kumri,Kyumayri,Kyumri,Kümri,LWN,Leninakan,gyumuri,gywmry,jiu mu li,?????,?????,??????,???????,??????,????,???",40.7942,43.84528
2240449,Luanda,Luanda,"LAD,Loanda,Louanta,Luanda,Sao Paolo de Loanda,Sao Paulo da Assuncao de Luanda,Sao Paulo de Loanda,Sao Paulo de Luanda,São Paolo de Loanda,São Paulo da Assunção de Luanda,São Paulo de Loanda,São Paulo de Luanda,luanda,luo an da,lwanda,ruanda,???????,??????,??????,??????,???,????,???,???",-8.83682,13.23432
3347762,Lubango,Lubango,"Lubango,SDD,Sa da Bandeira,Sá da Bandeira,???????",-14.91717,13.4925
3347939,Lobito,Lobito,"Lobito,Lobitu,robito,??????,???",-12.34806,13.54556
3348078,Kuito,Kuito,"Bie,Bihe,Bihé,Bié,Kuito,SVP,Silva Porto,Vila Salva Porto,?????",-12.38333,16.93333
3348313,Huambo,Huambo,"Huambo,NOV,Nova Lisboa,Uambo,?????",-12.77611,15.73917
3351663,Benguela,Benguela,"BUG,Bengela,Benguela,Benguella,Sao Felipe de Benguela,São Félipe de Benguela,ben ji la,???????,???",-12.57626,13.40547
3427833,Tandil,Tandil,"TDL,Tandil,Tandil',???????",-37.32167,-59.13316
3429577,Resistencia,Resistencia,"RES,Resistencia,Resistensija,???????????",-27.46056,-58.98389
3429652,Quilmes,Quilmes,"Kil'mes,Quilmes,???????",-34.72418,-58.25265
3429886,Posadas,Posadas,"PSS,Posadas,???????",-27.36708,-55.89608
3430545,Morón,Moron,"6 de Septiembre,Moron,Morón,Seis de Septiembre",-34.65344,-58.61975
3430863,Mar del Plata,Mar del Plata,"Mar de Plata,Mar del Plata,Mar-del'-Plata,??? ??? ?????,???-????-?????,?????????",-38.00228,-57.55754
3432043,La Plata,La Plata,"Eva Peron,Eva Perón,LPG,La Plata,La-Plata,lablata,rapurata,?? ?????,??-?????,???????,????",-34.92145,-57.95453
3433899,Formosa,Formosa,"FMA,Formosa,Formoza,???????,???????",-26.17753,-58.17814
3435217,Corrientes,Corrientes,"CNQ,Corrientes,Korientes,Korientesas,Korrientes,kwryynts,?????????,??????????,????????",-27.4806,-58.8341
3435261,Concordia,Concordia,"COC,Concordia,Konkordija,?????????",-31.39296,-58.02089
3435910,Buenos Aires,Buenos Aires,"BUE,Baires,Bonaero,Bonaeropolis,Bonaëropolis,Bos Aires,Bouenos Aires,Buehnos Ajres,Buehnos-Ajres,Buehnos-Ajres osh,Buenos Aires,Buenos Air?s,Buenos Ajres,Buenos Ayres,Buenos-Ajres,Buenos-Ayres,Buenos-Aýres,Buenosairesa,Buénos Ayrés,Bwenoze,Bwènozè,Búenos Aíres,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad de La Santisima Trinidad y Puerto de Santa Maria del Buen Ayre,Ciudad de La Santísima Trinidad y Puerto de Santa María del Buen Ayre,Gorad Buehnas-Ajrehs,Lungsod ng Buenos Aires,Santa Maria del Buen Ayre,Santa María del Buen Ayre,bawnosxires,bu yi nuo si ai li si,bu'enosa a'iresa,buenos-airesi,buenosaires,buenoseuaileseu,buenosuairesu,buraenosa a'iresa,buyenosa a'iresa,bwyns ayrs,bwynws ayrs,bwynws ayrys,byu'enosa erisa,byunas airis,byunas ayels,bywns ayrs,puvenas airis,???????? ?A????,???????? ?????,?????? ?????,?????? ?????,?????? ?????,?????? ?????,??????-?????,?????? ?????,??????-?????,??????-????? ??,????? ??????-?????,??????? ?????,?????? ?????,?????? ??????,?????? ????,????? ????,?????? ?????,????? ????,?????? ?????,???????? ????,???????? ?????,??????? ?????,??????? ?????,??????? ?????,??????? ???????,???????????,?????????????????????,??????-??????,???? ????,????????,???????,???????,????????",-34.61315,-58.37723
3835869,Santiago del Estero,Santiago del Estero,"Sant'jago-del'-Ehstero,Santiago del Estero,Santjago del Esteras,????????-????-??????",-27.79511,-64.26149
3835994,Santa Rosa,Santa Rosa,"RSA,Santa Rosa,Santa Rosa de Toay,Santa-Rosa,?????-????",-36.61667,-64.28333
3836277,Santa Fe de la Vera Cruz,Santa Fe de la Vera Cruz,"Santa Fe,Santa F?,Santa-Fe,????? ??,?????-??",-31.63333,-60.7
3836564,San Salvador de Jujuy,San Salvador de Jujuy,"Jujuy,Khukhuj,San Sal'vador de Khukhuj,San Sal'vador de Zhuzhuj,San Salvador de Jujuy,San Salvador de Khukhuj,San Salvador de Zuzujus,San Salvador de Žužujus,??? ???????? ?? ?????,??? ????????? ?? ?????,??? ????????? ?? ?????,?????",-24.19456,-65.29712
3836669,San Rafael,San Rafael,"AFA,San Rafael",-34.61772,-68.33007
3836846,San Nicolás de los Arroyos,San Nicolas de los Arroyos,"San Nicolas,San Nicolas de los Arroyos,San Nicolás,San Nicolás de los Arroyos,San Nikolasas",-33.33578,-60.22523
3836873,San Miguel de Tucumán,San Miguel de Tucuman,"San Miguel de Tucuman,San Miguel de Tucumán,Tucuman,Tucumán,Tukuman,Tukumanas,???????,??????????????",-26.82414,-65.2226
3837056,San Luis,San Luis,"LUQ,San Luis,San Luisas,??? ????",-33.29501,-66.33563
3837213,San Juan,San Juan,"San Chuanas,San Juan,UAQ",-31.5375,-68.53639
3837702,San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,"Catamarca,Katamarka,San Fernando del Valle de Catamarca",-28.46957,-65.78524
3838233,Salta,Salta,"Ciudad de Salta,SLA,Sal'ta,Salta,?????,??????,?????",-24.7859,-65.41166
3838583,Rosario,Rosario,"ROS,Rosarijas,Rosario,Rosário,Rozario,rosario,rwsaryw,???????,???????,???????,????",-32.94682,-60.63932
3838874,Río Cuarto,Rio Cuarto,"Rio Cuarto,Rio Kuartas,Rio-Kuarto,Río Cuarto,???-??????",-33.13067,-64.34992
3841956,Paraná,Parana,"Parana,Paraná,??????",-31.73197,-60.5238
3843123,Neuquén,Neuquen,"Nequen,Neuken,Neukenas,Neuquen,Neuquén,??????",-38.95161,-68.0591
3844421,Mendoza,Mendoza,"MDZ,Mendosa,Mendoza,???????",-32.89084,-68.82717
3848950,La Rioja,La Rioja,"IRJ,La Riocha,La Rioja,La-Riokha,??-?????",-29.41105,-66.85067
3860259,Córdoba,Cordoba,"Cordoba,Còrdoba,Córdoba,Kordoba,Kordobo,Kordova,ke er duo wa,korudoba,qrtbt,qwrdwbh,???????,???????,???????,?????,????,????",-31.4135,-64.18105
3860443,Comodoro Rivadavia,Comodoro Rivadavia,CRD,-45.86667,-67.5
3865086,Bahía Blanca,Bahia Blanca,"Bahia Blanca,Bahija Blanka,Bahía Blanca,Bajja-Blanka,bahya blanka,????-??????,????? ??????",-38.7196,-62.27243
2761369,Vienna,Vienna,"Bec,Bech,Becs,Be?,Bienne,Bécs,Dunaj,VIE,Vena,Viden,Viena,Vienna,Vienne,Vieno,Vin,Vinarborg,Vindobona,Viyana,Víde?,Vín,Vínarborg,Wenen,Wieden,Wiede?,Wien,bin,weiynna,??????,???,????,?????,???????,???,?",48.20849,16.37208
2766824,Salzburg,Salzburg,"Lungsod ng Salzburg,SZG,Saizburg,Salcburk,Salisburgium,Salisburgo,Salisburgu,Salisburgum,Saltsmpournk,Salzborg,Salzbourg,Salzburg,Salzburgi liidumaa,Salzburgo,Salzbursko,Såizburg,Zal'cburg,Zalcburg,Zalcburga,Zalcburgas,jalcheubuleukeu,sa er ci bao,sa er si bao,salzbwrg,zarutsuburuku,zlzbwrg,????????????,????????,?????????,???????,????????,??????,????,????,????,?????",47.79941,13.04399
2772400,Linz,Linz,"LNZ,Lentia,Linc,Linca,Lincas,Linec,Linz,lin ci,lyntz,lynz,rintsu,????,????,?????,???,??",48.30639,14.28611
2775220,Innsbruck,Innsbruck,"INN,Innsbruck,Insbruk,Insbruka,Pons Aeni,insuburukku,yin si bu lu ke,?nnsbruck,???????,????????,???????,?????",47.26266,11.39454
2778067,Graz,Graz,"GRZ,Grac,Graca,Gradec,Graecia,Gratz,Graz,Gráz,Gr?ca,Styrsky Hradec,ge la ci,ghrats,grats,gratsi,guratsu,Štýrský Hradec,????,????,?????,?????,?????,????,???",47.06667,15.45
2063523,Perth,Perth,"PER,Peairt,Pert,Pertas,Perth,Perth City,Perthia,Purt,byrth,pasu,pert,po si,prt,prt',????,????,???',????,???,??????,???,??",-31.95224,115.8614
2078025,Adelaide,Adelaide,"ADL,Adelaida,Adelaidae,Adelaide,Adelaid?,Adelajda,Adelajdo,Adelayde,Adelaïda,Adelejd,Adelhaidis,Adelàida,Adélaydé,Adélaïde,Edelaid,Gorad Adehlaida,Tarndanya,Tarndarnya,a de lai de,adelaida,aderedo,adiled,adlayd,adylyd,aedaleda,aedeulleideu,atileyit,edileda,????????,???????æ,????????,????????,???????,???????,????? ????????,????????,??????,??????,??????,???????,??????,??????,?????????,???????,???????,????????,?????,????,????,?????",-34.92866,138.59863
2146142,Townsville,Townsville,"TSV,Townsville,taunzuvu~iru,???????",-19.26639,146.8057
2147714,Sydney,Sydney,"SYD,Sanctus Dionysius,Sanctus Dyonisius,Sidnej,Sidneja,Sidnejo,Sidnejus,Sidney,Sidni,Sidn?jus,Syd,Sydney,Sydney City,Sídney,citni,shidoni,sidani,sideuni,sidniy,sydny,xi ni,??????,??????,?????,??????,?????,??????,?????,?????,?????,??????,???????,???????,????,??,???",-33.86785,151.20732
2155472,Newcastle,Newcastle,"N'jukasl,NTL,Newcastle,Novkastelo,niu ka si er,nyukassuru,???????,???????,????",-32.92715,151.77647
2158177,Melbourne,Melbourne,"MEL,Mel'burn,Melbourne,Melbourne City,Melbournum,Melburn,Melburna,Melburnas,Melburno,mel beirn,melaborna,melbeoleun,melporn,meruborun,mlbwrn,mo er ben,???????,???????,????????,??????,??????,???????,????????,??????????,?????????,???????,?????,???,???",-37.814,144.96332
2165087,Gold Coast,Gold Coast,"Costa Dorada,Gold,Gold Coast,Gold Koust,OOL,gorudokosuto,huang jin hai an,???? ?????,????????,?????????,????,????",-28.00029,153.43088
2165796,Geelong West,Geelong West,Geelong West,-38.13333,144.35
2165798,Geelong,Geelong,"Dzhilong,GEX,Geelong,???????",-38.14711,144.36069
2171507,Wollongong,Wollongong,"City of Greater Wollongong,Vullongong,WOL,Wollongong,wo long gang,??????????,???",-34.424,150.89345
2172517,Canberra,Canberra,"CBR,Camberra,Canberra,Gorad Kanbera,Kamberra,Kambra,Kampera,Kanapera,Kanbera,Kanbero,Kanberra,Kanberrae,Kanbérra,K?napera,kaenbeola,kainabara,kan pei la,kanbra,kanpara,kenabera,kyanabera,kyanbera,kynbra,qnbrh,???????,????? ???????,???????,???????æ,????????,????????,???????,???????,?????,??????,??????,??????,???????,??????,?????????,???????,??????????,????????,???????,????,?????,???,???,???",-35.28346,149.12807
2172797,Cairns,Cairns,"CNS,Cairns,Kerns,kai en si,keanzu,?????,????,???",-16.92304,145.76625
2174003,Brisbane,Brisbane,"BNE,Brisbane,Brisbane City,Brisbano,Brisben,Brisbenas,Brizbejn,beulijeubeon,brisben,brysban,bryzbyn,bryzbyyn,bu li si ban,burisuben,pirispen,????????,???????,????????,???????,???????,???????,??????????,???????,?????,????,????",-27.46794,153.02809
2178174,Albury,Albury,"ABX,Albury,Olberi,??????",-36.07494,146.92394
7280463,North Shore,North Shore,,-31.40237,152.90185
7281838,Logan City,Logan City,"Logan,Logan City",-27.63917,153.10944
7302259,City of Parramatta,City of Parramatta,"City of Parramatta,Parramatta",-33.81667,151
584923,Sumqay?t,Sumqayit,"SUMGAIT,Sumgait,Sumgjajet,Sumqayit,Sumqayyt,Sumqay?t,???????,???????,???????",40.58972,49.66861
586523,Ganja,Ganja,"Elisavetpol,Elizavetpol',Elizavetpol’,GJANDZHA,Gaencae,Gaendzjae,Ganca,Gandja,Gandza,Gandzha,Gandzhe,Gand?a,Ganga,Ganja,Gan?a,Gence,Gendzakh,Gjandzha,Gyandzha,Gäncä,Gändzjä,G?nc?,G?nc?,KVD,Kirovabad,Kirowabad,Yelizavetpol',Yelizavetpol’,ganja,gnjh,gyanja,??????,??????,????,?????,?????,??",40.68278,46.36056
587084,Baku,Baku,"BAK,Bacu,Baki,Bako,Bakoe,Bakou,Baku,Baku - Baki,Bakue,Bakuu,Baky,Bakó,Bakú,Bakú - Bak?,Bakü,Bak?,Boku,Mpakou,ba ku,bako,baku,bakw,??????,????,????,????,????,????,????,??,???,??,??",40.37767,49.89201
3186573,Zenica,Zenica,"Zenica,??????",44.20139,17.90639
3188582,Tuzla,Tuzla,"Donja Tuzla,Soli,TZL,Tuzla,?????",44.53842,18.66709
3191281,Sarajevo,Sarajevo,"Bosna-Sarai,SJJ,Saraeva,Saraevo,Saragebo,Saragiebo,Saragievo,Sarajeva,Sarajevas,Sarajevo,Sarajewo,Saraxevo - Sarajevo,Saraybosna,Szarajevo,Szarajevó,Vrh Bosna,sai la ye fu,salayebo,saraebo,saraevo,sarayewo,srayyfw,????????,?????????,?????????,???????,???????,????????,??????,???????,???????,????????,???????,????,????,????,????",43.84864,18.35644
3194828,Mostar,Mostar,"Mostar,Mostara,OMO,mosutaru,??????,??????,????",43.34333,17.80806
3204541,Banja Luka,Banja Luka,"BNX,Bana Luka,Bania Louka,Bania Luka,Banialuca,Banja Luka,Banja Luka - Bana Luka,Banja Luka - ???? ????,Banja-Luka,Banja-Lukae,Banjaluko,Banya Luka,ba ni ya lu ka,banja luka,banya lwka,banyaluka,bnya lwka,?????? ?????,???? ????,????-???æ,????-????,???? ????,????? ????,????? ????,???? ????,???? ????,??????,?????,????",44.77583,17.18556
1185098,Tungi,Tungi,"Tangi,Tongi,Tungi,tangi,?????",23.89,90.40583
1185099,Sylhet,Sylhet,"Jalalabad,Rajnagar,R?jnagar,Silet,Sile?,Silhatta,Silkhet,Silot,Silô?,Sreehatta,Srihotto,Srihô??o,Sylhet,ZYL,sileta,??????,?????",24.89667,91.87167
1185106,Jam?lpur,Jamalpur,"Jamaipur,Jamalpur,Jam?lpur,Singhjani,Singhj?ni",24.91667,89.93333
1185111,S?tkhira,Satkhira,"Satkhira,Shatkhira,S?tkhira",22.71667,89.1
1185115,Sir?jganj,Sirajganj,"Serajganj Municipality,Siradzhgandzh,Sirajganj,Siranganj,Sir?jganj,sirajaganja,???????????,?????????",24.45,89.71667
1185117,Narsingdi,Narsingdi,"Narsingdi,Narsinghdi,Satirpara,Satirp?ra",23.92083,90.71806
1185121,Sh?hz?dpur,Shahzadpur,"Sahzadpur,Shahzadpur,Sh?hz?dpur",24.16667,89.6
1185128,R?jsh?hi,Rajshahi,"Radzhshakhi,Rajshahi,Rampur Baolia,Rampur Bauleah,Rampur Boalia,R?jsh?hi,rajasahi,????????,???????",24.36667,88.6
1185155,N?r?yanganj,Narayanganj,"Narajanganj,Narayanganj,N?r?yanganj",23.62333,90.50111
1185162,Mymensingh,Mymensingh,"Majmensingkh,Mymensing,Mymensingh,Nasirabad,Nasir?b?d,???????????",24.75,90.4
1185186,Comilla,Comilla,"CLA,Comilla,Komille,Kumilla,Kumill?,kumilla,???????,????????",23.45778,91.20444
1185188,Rangpur,Rangpur,"Kotwali,Kotw?li,Mosque Rangpur,Rangpur,???????",25.75,89.25
1185191,Kushtia,Kushtia,"Khustia,Kushtia",23.90105,89.12207
1185241,Dhaka,Dhaka,"DAC,Daca,Dacca,Dacca - dhaka,Dacca - ????,Daka,Dakah,Dakka,Dako,Dhaka,Dháka,Dhâkâ,Mujib City,Ntakka,da ka,daka,dakka,dhaka,dka,thaka,??????,?????,????,???,?????,????,????,????,????,???,??,??",23.7104,90.40744
1185263,Bhairab B?z?r,Bhairab Bazar,"Bhairab Bazar,Bhairab B?z?r,Bhairab Town",24.06667,90.96667
1192366,P?r Naogaon,Par Naogaon,"Par Naogaon,P?r Naogaon",24.80287,88.95084
1203344,Far?dpur,Faridpur,,23.6,89.83333
1203891,Din?jpur,Dinajpur,"Dinajpur,Din?jpur",25.62715,88.63864
1205733,Chittagong,Chittagong,"CGP,Chittagong,Chittagong Ghat,Chottogram,Chô??ogram,Citagonga,Citagongas,Cottogram,Islamabad,cattagrama,chittagon,ji da gang,?ottogram,?itagonga,?itagongas,?????????,?????????,?????,???",22.33306,91.83639
1336134,Cox’s B?z?r,Cox's Bazar,"Cox's Bazar,Cox’s B?z?r,Koks-Bazar,????-?????",21.45324,91.97977
1336135,Khulna,Khulna,"Khulna,Kkhulna,kuruna,??????,?????,???",22.81348,89.56723
1336137,Baris?l,Barisal,"Barisal,Barisal Sadar,Baris?l,Bar?sal Sadar,barisala,???????,??????",22.70194,90.37111
1336140,Jessore,Jessore,"JSR,Jessore",23.16869,89.21315
1336143,P?bna,Pabna,"Pabna,Pabne,P?bna,?????",24,89.25
1336144,T?ng?il,Tangail,"Tangail,T?ng?il",24.25,89.91667
1337233,Bogra,Bogra,"Bogra,?????",24.85,89.36667
1337240,Naw?bganj,Nawabganj,"Nawabganj,Naw?bganj",24.59112,88.27102
1337248,Sherpur,Sherpur,Sherpur,25.01881,90.01751
6545349,Saidpur,Saidpur,SPD,25.77769,88.89169
2790471,Namur,Namur,"Name,Namen,Nameur,Namir,Namjur,Namouer,Namour,Namur,Namuro,QNM,na mu er,??????,?????,?????,?????,???",50.4669,4.86746
2792413,Liège,Liege,"L'ezh,Leck,Leodicum,Leodium,Lidje,Liege,Liegi,Liego,Lieja,Liex,Liezh,Lie?o,Lige,Lijezh,Liège,Ljeza,Lježa,Luettich,Luik,Luttich,Lutych,Luuk,Léck,Lüttich,lie ri,lyyj,lyyz',rieju,????,?????,????,????',?????,??,????",50.63373,5.56749
2797656,Gent,Gent,"GNE,Gaent,Gand,Gandavum,Gandawa,Gande,Gant,Gante,Gent,Gente,Gento,Ghent,Gænt,gen te,gento,gnt,?ente,?????,????,???,???,??",51.05,3.71667
2800481,Charleroi,Charleroi,"Charleroi,Sarlroua,Sharleroa,Sharlerua,Sharlroa,Tchalerwe,Tchålerwè,sharururoa,????????,????????,????????,???????,???????,??????",50.41136,4.44448
2800866,Brussels,Brussels,"An Bhruiseil,An Bhruiséil,BRU,Breissel,Brisel,Brisele,Briuselis,Brjuksel,Brjusel',Brjussel',Brueksel,Bruessel,Bruesszel,Bruiseal,Bruksel,Bruksela,Brukseli,Brukselo,Brusehl',Brusel,Brusela,Bruselas,Bruseles,Bruselj,Bruselo,Brusel·les,Brussel,Brussele,Brussels,Brussel·les,Bruxel,Bruxelas,Bruxellae,Bruxelles,Brwsel,Bryssel,Bryusel,Bryxelles,Bréissel,Brüksel,Brüssel,Brüsszel,Citta di Bruxelles,Città di Bruxelles,Kota Brusel,beulwisel,braselsa,brassels,briuseli,brwksl,brysl,bu lu sai er,buryusseru,?????????,??????,???????,???????,???????,????????,????????,?????,??????,??????,????????,??????,????????,?????????,????????,??????,????,???",50.85045,4.34878
2800931,Brugge,Brugge,"Bricg,Brige,Briz,Brizh,Briž,Brjugge,Brjuzh,Broegge,Bruegge,Brugae,Bruges,Brugge,Bruggy,Brugia,Brugo,Bruhhe,Brujas,Bruxas,Bru?o,Brygge,Brögge,Brügge,brwz',bu lu ri li shi zhong xin,buryuhhe,????,??????,????,????',?????,???????",51.20892,3.22424
2803138,Antwerpen,Antwerpen,"Amberes,Antuerpen - Antwerpen,Antuerpia,Antuérpia,Antverpen,Antverpenas,Antverpene,Antverpeno,Antverpia,Antverpy,Antwerp,Antwerp'n,Antwerpe,Antwerpen,Antwerpia,Antwerpium,Anvers,Anversa,Kota Antwerpen,an te wei pu,anteubeleupeon,antou~erupen,antowapu,?????????,????????,????????,??????,????,?????",51.21989,4.40346
2357048,Ouagadougou,Ouagadougou,"OUA,Ouagadouga,Ouagadougou,Ouankantounkou,Uagadougou,Uagadugu,Uagaduguo,Uagadugú,Vagadugu,Wagadugu,awagadwgw,wa jia du gu,wagado~ugu,wagadugu,waghadwghw,??????????????,????????,????????,?????????,????????,????,??????,????,????",12.36423,-1.53834
2362344,Bobo-Dioulasso,Bobo-Dioulasso,"Bobo Dioulasso,Bobo-Dioulasso,Bobo-Diulasso,Bobodjulaso,?????????",11.17715,-4.2979
726050,Varna,Varna,"Barna,Odessos,Odessus,Stalin,VAR,Varna,Warna,farna,varna,vu~aruna,wa er na,wrnh,?????,?????,????,?????,?????,????,???",43.21667,27.91667
726848,Stara Zagora,Stara Zagora,"Eski Zagra,Eski Za?ra,SZR,Stara Sagora,Stara Zagora,Stara-Zagora,????? ??????,?????-??????",42.43278,25.64194
